TEMP,HUM,PNM,DD,FF,ESTACION,ALTURA,LAT,LON,TEMP_MEDIA_HIST,HORA_sen,HORA_cos,PROV_BUENOS AIRES,PROV_CAPITAL FEDERAL,PROV_CATAMARCA,PROV_CHACO,PROV_CHUBUT,PROV_CORDOBA,PROV_CORRIENTES,PROV_ENTRE RIOS,PROV_FORMOSA,PROV_JUJUY,PROV_LA PAMPA,PROV_LA RIOJA,PROV_MENDOZA,PROV_MISIONES,PROV_NEUQUEN,PROV_RIO NEGRO,PROV_SALTA,PROV_SAN JUAN,PROV_SAN LUIS,PROV_SANTA CRUZ,PROV_SANTA FE,PROV_TIERRA DEL FUEG,PROV_TUCUMAN
6.1,80.0,,290.0,24.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,-0.2588190451025208,-0.9659258262890683,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
6.9,76.0,,300.0,39.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,-0.4999999999999997,-0.8660254037844388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
7.3,68.0,,300.0,31.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,-0.7071067811865471,-0.7071067811865479,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
8.2,51.0,,300.0,33.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,-0.8660254037844385,-0.5000000000000004,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
8.4,42.0,,280.0,26.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,-0.9659258262890683,-0.25881904510252063,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
5.9,61.0,,300.0,28.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,-1.0,-1.8369701987210297e-16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4.8,66.0,,310.0,24.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,-0.9659258262890684,0.2588190451025203,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4.0,71.0,,310.0,30.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,-0.8660254037844386,0.5000000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3.4,78.0,,280.0,20.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,-0.7071067811865477,0.7071067811865474,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3.2,73.0,,290.0,22.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,-0.5000000000000004,0.8660254037844384,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3.1,73.0,,280.0,28.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,-0.25881904510252157,0.9659258262890681,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
-18.3,84.0,999.4,90.0,9.0,BASE BELGRANO II,256.0,-76.13333333333334,-34.61666666666667,,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-17.3,74.0,1000.3,10.0,6.0,BASE BELGRANO II,256.0,-76.13333333333334,-34.61666666666667,,0.7071067811865476,0.7071067811865476,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-16.8,80.0,1001.0,360.0,17.0,BASE BELGRANO II,256.0,-76.13333333333334,-34.61666666666667,,1.0,6.123233995736766e-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-17.0,80.0,1001.5,340.0,13.0,BASE BELGRANO II,256.0,-76.13333333333334,-34.61666666666667,,0.7071067811865476,-0.7071067811865475,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-17.6,79.0,1001.3,360.0,15.0,BASE BELGRANO II,256.0,-76.13333333333334,-34.61666666666667,,1.2246467991473532e-16,-1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-17.6,79.0,1001.3,360.0,17.0,BASE BELGRANO II,256.0,-76.13333333333334,-34.61666666666667,,-0.7071067811865471,-0.7071067811865479,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-18.1,79.0,1001.2,30.0,11.0,BASE BELGRANO II,256.0,-76.13333333333334,-34.61666666666667,,-1.0,-1.8369701987210297e-16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-17.7,85.0,1000.5,360.0,19.0,BASE BELGRANO II,256.0,-76.13333333333334,-34.61666666666667,,-0.7071067811865477,0.7071067811865474,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-2.3,83.0,1010.6,270.0,15.0,BASE CARLINI (EX,,,,,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-3.3,81.0,1011.5,250.0,7.0,BASE CARLINI (EX,,,,,0.7071067811865476,0.7071067811865476,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-3.9,81.0,1011.3,90.0,22.0,BASE CARLINI (EX,,,,,1.0,6.123233995736766e-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-5.5,70.0,1010.9,90.0,15.0,BASE CARLINI (EX,,,,,0.7071067811865476,-0.7071067811865475,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-6.3,84.0,1010.6,70.0,17.0,BASE CARLINI (EX,,,,,1.2246467991473532e-16,-1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-5.7,75.0,1009.4,90.0,17.0,BASE CARLINI (EX,,,,,-0.7071067811865471,-0.7071067811865479,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-6.0,77.0,1007.8,90.0,19.0,BASE CARLINI (EX,,,,,-1.0,-1.8369701987210297e-16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-5.1,81.0,1006.8,90.0,20.0,BASE CARLINI (EX,,,,,-0.7071067811865477,0.7071067811865474,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-10.3,78.0,1012.1,230.0,17.0,BASE ESPERANZA,24.0,-62.61666666666667,-56.983333333333334,,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
